     peaks (eV)      intensity
        4.65209      0.0103555
        4.66709      0.0104634
        4.68209      0.0105795
        4.69709      0.0106997
        4.71209      0.0108199
        4.72709      0.0109356
        4.74209      0.0110423
        4.75709      0.0111359
        4.77209      0.0112131
        4.78709      0.0112715
        4.80209      0.0113098
        4.81709      0.0113284
        4.83209      0.0113288
        4.84709      0.0113139
        4.86209      0.0112875
        4.87709      0.0112539
        4.89209      0.0112177
        4.90709      0.0111833
        4.92209      0.0111549
        4.93709      0.0111358
        4.95209      0.0111285
        4.96709      0.0111346
        4.98209      0.0111546
        4.99709       0.011188
        5.01209      0.0112333
        5.02709      0.0112878
        5.04209       0.011348
        5.05709      0.0114095
        5.07209      0.0114673
        5.08709      0.0115161
        5.10209      0.0115508
        5.11709      0.0115666
        5.13209      0.0115598
        5.14709      0.0115277
        5.16209      0.0114693
        5.17709      0.0113853
        5.19209      0.0112777
        5.20709      0.0111501
        5.22209      0.0110069
        5.23709      0.0108531
        5.25209       0.010694
        5.26709      0.0105347
        5.28209      0.0103798
        5.29709      0.0102333
        5.31209      0.0100986
        5.32709     0.00997815
        5.34209     0.00987366
        5.35709      0.0097861
        5.37209     0.00971565
        5.38709     0.00966177
        5.40209      0.0096232
        5.41709       0.009598
        5.43209      0.0095836
        5.44709     0.00957684
        5.46209     0.00957406
        5.47709     0.00957129
        5.49209     0.00956441
        5.50709     0.00954943
        5.52209     0.00952276
        5.53709     0.00948152
        5.55209     0.00942373
        5.56709     0.00934857
        5.58209     0.00925634
        5.59709     0.00914846
        5.61209     0.00902729
        5.62709     0.00889586
        5.64209     0.00875765
        5.65709     0.00861625
        5.67209     0.00847518
        5.68709      0.0083377
        5.70209     0.00820668
        5.71709     0.00808454
        5.73209     0.00797328
        5.74709     0.00787445
        5.76209     0.00778919
        5.77709     0.00771829
        5.79209     0.00766225
        5.80709     0.00762125
        5.82209     0.00759523
        5.83709     0.00758386
        5.85209     0.00758656
        5.86709     0.00760248
        5.88209     0.00763043
        5.89709     0.00766891
        5.91209     0.00771606
        5.92709     0.00776962
        5.94209     0.00782698
        5.95709     0.00788523
        5.97209     0.00794121
        5.98709      0.0079917
        6.00209     0.00803359
        6.01709      0.0080641
        6.03209     0.00808103
        6.04709     0.00808293
        6.06209     0.00806927
        6.07709     0.00804047
        6.09209     0.00799787
        6.10709     0.00794358
        6.12209     0.00788032
        6.13709     0.00781115
        6.15209     0.00773924
        6.16709     0.00766771
        6.18209     0.00759946
        6.19709     0.00753704
        6.21209     0.00748262
        6.22709     0.00743795
        6.24209      0.0074044
        6.25709     0.00738289
        6.27209     0.00737401
        6.28709     0.00737796
        6.30209     0.00739458
        6.31709     0.00742335
        6.33209     0.00746336
        6.34709     0.00751334
        6.36209     0.00757159
        6.37709       0.007636
        6.39209     0.00770408
        6.40709     0.00777301
        6.42209     0.00783975
        6.43709     0.00790115
        6.45209      0.0079542
        6.46709     0.00799621
        6.48209     0.00802507
        6.49709      0.0080394
