     peaks (eV)      intensity
       0.617088      0.0379353
       0.632088      0.0377436
       0.647088      0.0375293
       0.662088       0.037299
       0.677088      0.0370598
       0.692088       0.036818
       0.707088      0.0365788
       0.722088      0.0363451
       0.737088      0.0361178
       0.752088      0.0358952
       0.767088      0.0356736
       0.782088      0.0354479
       0.797088      0.0352122
       0.812088      0.0349609
       0.827088      0.0346894
       0.842088      0.0343953
       0.857088      0.0340782
       0.872088      0.0337407
       0.887088      0.0333878
       0.902088      0.0330267
       0.917088      0.0326661
       0.932088      0.0323153
       0.947088      0.0319839
       0.962088      0.0316806
       0.977088      0.0314131
       0.992088      0.0311877
        1.00709      0.0310087
        1.02209      0.0308787
        1.03709      0.0307981
        1.05209      0.0307652
        1.06709      0.0307766
        1.08209      0.0308265
        1.09709      0.0309074
        1.11209      0.0310101
        1.12709      0.0311244
        1.14209       0.031239
        1.15709       0.031343
        1.17209      0.0314262
        1.18709      0.0314801
        1.20209      0.0314986
        1.21709      0.0314788
        1.23209      0.0314213
        1.24709      0.0313295
        1.26209      0.0312102
        1.27709      0.0310717
        1.29209       0.030924
        1.30709      0.0307769
        1.32209        0.03064
        1.33709      0.0305212
        1.35209      0.0304264
        1.36709      0.0303595
        1.38209      0.0303217
        1.39709      0.0303115
        1.41209      0.0303253
        1.42709      0.0303571
        1.44209      0.0303995
        1.45709      0.0304441
        1.47209      0.0304823
        1.48709      0.0305062
        1.50209      0.0305095
        1.51709      0.0304882
        1.53209      0.0304412
        1.54709      0.0303703
        1.56209      0.0302804
        1.57709      0.0301785
        1.59209      0.0300739
        1.60709      0.0299763
        1.62209       0.029896
        1.63709      0.0298424
        1.65209      0.0298239
        1.66709      0.0298471
        1.68209      0.0299165
        1.69709      0.0300345
        1.71209      0.0302011
        1.72709      0.0304137
        1.74209      0.0306674
        1.75709      0.0309551
        1.77209      0.0312676
        1.78709      0.0315941
        1.80209      0.0319228
        1.81709      0.0322419
        1.83209      0.0325404
        1.84709      0.0328087
        1.86209      0.0330402
        1.87709      0.0332311
        1.89209      0.0333814
        1.90709      0.0334939
        1.92209      0.0335744
        1.93709      0.0336299
        1.95209       0.033668
        1.96709      0.0336957
        1.98209      0.0337178
        1.99709      0.0337366
        2.01209      0.0337511
        2.02709      0.0337565
        2.04209      0.0337453
        2.05709       0.033707
        2.07209      0.0336297
        2.08709      0.0335011
        2.10209      0.0333099
        2.11709      0.0330473
        2.13209      0.0327082
        2.14709      0.0322915
        2.16209       0.031801
        2.17709      0.0312447
        2.19209      0.0306341
        2.20709       0.029983
        2.22209      0.0293067
        2.23709      0.0286205
        2.25209      0.0279389
        2.26709      0.0272749
        2.28209      0.0266394
        2.29709      0.0260412
        2.31209      0.0254867
        2.32709      0.0249803
        2.34209       0.024524
        2.35709       0.024118
        2.37209      0.0237604
        2.38709      0.0234481
        2.40209      0.0231758
        2.41709      0.0229374
        2.43209      0.0227253
        2.44709      0.0225313
        2.46209      0.0223465
        2.47709      0.0221623
        2.49209      0.0219707
        2.50709      0.0217651
        2.52209      0.0215404
        2.53709      0.0212938
        2.55209      0.0210249
        2.56709      0.0207355
        2.58209      0.0204294
        2.59709      0.0201119
        2.61209      0.0197895
        2.62709      0.0194687
        2.64209      0.0191563
        2.65709      0.0188583
        2.67209      0.0185798
        2.68709      0.0183252
        2.70209      0.0180975
        2.71709      0.0178986
        2.73209      0.0177291
        2.74709      0.0175885
        2.76209      0.0174753
        2.77709      0.0173868
        2.79209      0.0173194
        2.80709      0.0172684
        2.82209      0.0172289
        2.83709      0.0171951
        2.85209      0.0171614
        2.86709      0.0171226
        2.88209       0.017074
        2.89709      0.0170123
        2.91209      0.0169355
        2.92709      0.0168433
        2.94209      0.0167371
        2.95709      0.0166198
        2.97209      0.0164954
        2.98709      0.0163688
        3.00209      0.0162451
        3.01709      0.0161297
        3.03209      0.0160273
        3.04709      0.0159421
        3.06209      0.0158774
        3.07709      0.0158354
        3.09209      0.0158175
        3.10709      0.0158237
        3.12209      0.0158529
        3.13709      0.0159029
        3.15209      0.0159702
        3.16709      0.0160501
        3.18209      0.0161371
        3.19709      0.0162248
        3.21209      0.0163063
        3.22709      0.0163744
        3.24209      0.0164227
        3.25709      0.0164455
        3.27209      0.0164386
        3.28709      0.0163995
        3.30209      0.0163282
        3.31709      0.0162265
        3.33209      0.0160982
        3.34709      0.0159487
        3.36209      0.0157843
        3.37709       0.015612
        3.39209      0.0154386
        3.40709      0.0152706
        3.42209      0.0151138
        3.43709      0.0149729
        3.45209      0.0148515
        3.46709      0.0147522
        3.48209      0.0146763
        3.49709       0.014624
        3.51209      0.0145942
        3.52709      0.0145849
        3.54209      0.0145932
        3.55709      0.0146148
        3.57209      0.0146451
        3.58709      0.0146786
        3.60209      0.0147099
        3.61709      0.0147334
        3.63209      0.0147442
        3.64709      0.0147384
        3.66209      0.0147134
        3.67709      0.0146682
        3.69209      0.0146037
        3.70709      0.0145221
        3.72209      0.0144272
        3.73709      0.0143239
        3.75209      0.0142176
        3.76709      0.0141139
        3.78209      0.0140184
        3.79709      0.0139362
        3.81209      0.0138717
        3.82709      0.0138286
        3.84209      0.0138095
        3.85709      0.0138164
        3.87209      0.0138502
        3.88709      0.0139108
        3.90209      0.0139972
        3.91709      0.0141074
        3.93209      0.0142381
        3.94709      0.0143852
        3.96209      0.0145433
        3.97709      0.0147062
        3.99209      0.0148669
        4.00709      0.0150178
        4.02209      0.0151513
        4.03709      0.0152603
        4.05209      0.0153386
        4.06709      0.0153817
        4.08209       0.015387
        4.09709      0.0153542
        4.11209      0.0152851
        4.12709      0.0151837
        4.14209      0.0150555
        4.15709      0.0149071
        4.17209      0.0147454
        4.18709      0.0145771
        4.20209      0.0144083
        4.21709      0.0142441
        4.23209      0.0140882
        4.24709      0.0139428
        4.26209      0.0138086
        4.27709       0.013685
        4.29209      0.0135699
        4.30709      0.0134601
        4.32209      0.0133519
        4.33709      0.0132408
        4.35209      0.0131226
        4.36709      0.0129931
        4.38209      0.0128494
        4.39709      0.0126894
        4.41209      0.0125125
        4.42709      0.0123195
        4.44209      0.0121124
        4.45709      0.0118944
        4.47209      0.0116693
        4.48709      0.0114412
        4.50209      0.0112146
        4.51709      0.0109934
        4.53209      0.0107815
        4.54709       0.010582
        4.56209      0.0103976
        4.57709      0.0102304
        4.59209      0.0100821
        4.60709     0.00995367
        4.62209     0.00984588
        4.63709     0.00975906
        4.65209      0.0096932
        4.66709     0.00964798
        4.68209     0.00962276
        4.69709     0.00961655
        4.71209     0.00962802
        4.72709     0.00965544
        4.74209     0.00969663
        4.75709     0.00974899
        4.77209     0.00980944
        4.78709     0.00987449
        4.80209     0.00994035
        4.81709       0.010003
        4.83209      0.0100586
        4.84709      0.0101036
        4.86209      0.0101348
        4.87709      0.0101503
        4.89209      0.0101488
        4.90709      0.0101307
        4.92209      0.0100971
        4.93709      0.0100504
        4.95209     0.00999396
        4.96709     0.00993136
        4.98209     0.00986666
        4.99709     0.00980382
        5.01209     0.00974657
        5.02709     0.00969821
        5.04209     0.00966151
        5.05709      0.0096386
        5.07209       0.009631
        5.08709     0.00963954
        5.10209     0.00966438
        5.11709     0.00970497
        5.13209     0.00976009
        5.14709     0.00982779
        5.16209     0.00990546
        5.17709     0.00998981
        5.19209       0.010077
        5.20709      0.0101627
        5.22209      0.0102425
        5.23709       0.010312
        5.25209       0.010367
        5.26709      0.0104045
        5.28209       0.010422
        5.29709      0.0104186
        5.31209      0.0103948
        5.32709      0.0103522
        5.34209      0.0102936
        5.35709      0.0102229
        5.37209      0.0101442
        5.38709       0.010062
        5.40209     0.00998054
        5.41709      0.0099036
        5.43209      0.0098344
        5.44709     0.00977536
        5.46209     0.00972809
        5.47709     0.00969328
        5.49209     0.00967072
        5.50709     0.00965934
        5.52209     0.00965721
        5.53709     0.00966165
        5.55209     0.00966933
        5.56709     0.00967643
        5.58209     0.00967892
        5.59709     0.00967276
        5.61209     0.00965432
        5.62709     0.00962058
        5.64209     0.00956952
        5.65709     0.00950022
        5.67209     0.00941301
        5.68709     0.00930935
        5.70209     0.00919174
        5.71709     0.00906342
        5.73209     0.00892806
        5.74709     0.00878954
        5.76209     0.00865164
        5.77709     0.00851784
        5.79209     0.00839123
        5.80709     0.00827441
        5.82209     0.00816947
        5.83709     0.00807798
        5.85209     0.00800104
        5.86709     0.00793931
        5.88209     0.00789302
        5.89709     0.00786199
        5.91209     0.00784564
        5.92709     0.00784301
        5.94209      0.0078527
        5.95709      0.0078729
        5.97209     0.00790137
        5.98709     0.00793544
        6.00209      0.0079721
        6.01709     0.00800804
        6.03209     0.00803985
        6.04709     0.00806414
        6.06209     0.00807783
        6.07709     0.00807838
        6.09209     0.00806396
        6.10709     0.00803368
        6.12209     0.00798764
        6.13709     0.00792688
        6.15209     0.00785332
        6.16709     0.00776952
        6.18209      0.0076785
        6.19709     0.00758345
        6.21209     0.00748754
        6.22709     0.00739376
        6.24209     0.00730479
        6.25709     0.00722295
        6.27209     0.00715017
        6.28709     0.00708797
        6.30209     0.00703753
        6.31709     0.00699967
        6.33209     0.00697493
        6.34709     0.00696357
        6.36209     0.00696556
        6.37709     0.00698063
        6.39209     0.00700823
        6.40709     0.00704752
        6.42209     0.00709735
        6.43709     0.00715619
        6.45209     0.00722218
        6.46709      0.0072931
        6.48209     0.00736636
        6.49709     0.00743913
        6.51209      0.0075084
        6.52709     0.00757119
        6.54209     0.00762471
        6.55709      0.0076666
        6.57209     0.00769514
        6.58709     0.00770941
        6.60209     0.00770942
        6.61709     0.00769608
        6.63209      0.0076711
        6.64709     0.00763688
        6.66209     0.00759626
        6.67709     0.00755228
        6.69209       0.007508
        6.70709     0.00746629
        6.72209     0.00742968
        6.73709      0.0074003
        6.75209     0.00737978
        6.76709     0.00736926
        6.78209     0.00736935
        6.79709     0.00738012
        6.81209     0.00740112
        6.82709     0.00743135
        6.84209     0.00746932
        6.85709     0.00751299
        6.87209      0.0075599
        6.88709     0.00760722
        6.90209     0.00765183
        6.91709     0.00769057
        6.93209      0.0077204
        6.94709     0.00773863
        6.96209     0.00774318
        6.97709     0.00773277
        6.99209     0.00770702
        7.00709     0.00766649
        7.02209     0.00761263
        7.03709     0.00754762
        7.05209     0.00747416
        7.06709     0.00739526
        7.08209     0.00731398
        7.09709      0.0072333
        7.11209     0.00715595
        7.12709     0.00708432
        7.14209     0.00702043
        7.15709     0.00696592
        7.17209     0.00692205
        7.18709     0.00688975
        7.20209     0.00686961
        7.21709     0.00686195
        7.23209      0.0068668
        7.24709     0.00688393
        7.26209     0.00691282
        7.27709     0.00695269
        7.29209     0.00700244
        7.30709     0.00706064
        7.32209     0.00712554
        7.33709     0.00719507
        7.35209     0.00726689
        7.36709     0.00733841
        7.38209     0.00740698
        7.39709     0.00747001
        7.41209     0.00752515
        7.42709     0.00757049
        7.44209     0.00760474
        7.45709      0.0076274
        7.47209     0.00763875
        7.48709     0.00763988
        7.50209     0.00763259
        7.51709     0.00761921
        7.53209     0.00760242
        7.54709     0.00758504
        7.56209     0.00756986
        7.57709     0.00755948
        7.59209     0.00755622
        7.60709     0.00756204
        7.62209      0.0075785
        7.63709     0.00760674
        7.65209     0.00764747
        7.66709     0.00770095
        7.68209     0.00776699
        7.69709     0.00784492
        7.71209     0.00793356
        7.72709     0.00803119
        7.74209     0.00813554
        7.75709     0.00824377
        7.77209     0.00835252
        7.78709     0.00845801
        7.80209     0.00855613
        7.81709     0.00864272
        7.83209     0.00871379
        7.84709     0.00876585
        7.86209      0.0087962
        7.87709     0.00880315
        7.89209     0.00878625
        7.90709     0.00874626
        7.92209     0.00868511
        7.93709     0.00860566
        7.95209     0.00851148
        7.96709     0.00840649
        7.98209     0.00829473
        7.99709     0.00818007
        8.01209     0.00806604
        8.02709     0.00795574
        8.04209     0.00785176
        8.05709     0.00775619
        8.07209     0.00767066
        8.08709     0.00759636
        8.10209     0.00753411
        8.11709     0.00748439
        8.13209     0.00744745
        8.14709     0.00742324
        8.16209     0.00741154
        8.17709      0.0074119
        8.19209     0.00742367
        8.20709       0.007446
        8.22209      0.0074778
        8.23709     0.00751779
        8.25209     0.00756443
        8.26709     0.00761599
        8.28209     0.00767058
        8.29709     0.00772622
        8.31209     0.00778092
        8.32709     0.00783283
        8.34209     0.00788036
        8.35709     0.00792232
        8.37209     0.00795804
        8.38709     0.00798742
        8.40209     0.00801096
        8.41709     0.00802968
        8.43209     0.00804506
        8.44709     0.00805892
        8.46209     0.00807324
        8.47709     0.00809006
        8.49209     0.00811138
        8.50709     0.00813906
        8.52209     0.00817478
        8.53709     0.00822003
        8.55209     0.00827611
        8.56709     0.00834412
        8.58209     0.00842501
        8.59709     0.00851959
